id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
866717130138547835,Home in Toronto · ★4.71 · 2 bedrooms · 2 beds · 1.5 baths,289146147,Thomas,,Niagara,43.63988839648301,-79.41258196386518,Entire home/apt,428,1,7,2023-10-29,1.14,1,85,7,STR-2304-GHXVHS
866740110490944238,Home in Toronto · 1 bedroom · 1 bed · 1 shared bath,61336285,Samaneh,,Rexdale-Kipling,43.72602382420523,-79.56152748316526,Private room,200,1,0,,,2,365,0,STR-2309-HBHRVW
866782621554289047,Home in Toronto · ★4.92 · 2 bedrooms · 2 beds · 2 baths,41206498,Jason Yuk Bon,,Parkwoods-Donalda,43.757800571091025,-79.33872222830165,Entire home/apt,249,28,24,2023-10-27,2.91,2,207,24,STR-2211-HYTXVL
866872699005368685,Rental unit in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 bath,13075710,Ellie,,Henry Farm,43.7756956044924,-79.34369948374838,Entire home/apt,140,28,3,2023-12-31,0.59,1,246,3,
866889915545825075,Home in Toronto · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,262093566,Mehrnaz,,Oakwood Village,43.68759896598231,-79.43487527519254,Private room,90,28,20,2023-12-20,2.26,3,84,20,STR-2303-JFBDVZ
866910229577442254,Rental unit in Toronto · ★4.67 · 1 bedroom · 1 bed · 1 bath,509493772,Yea Rin,,Trinity-Bellwoods,43.6503339,-79.4102848,Entire home/apt,124,2,30,2024-01-03,6.16,1,284,30,STR-2304-FLKVHP
867243159632168107,Home in Toronto · 2 bedrooms · 2 beds · 1 bath,74531834,Karim,,Alderwood,43.60574485815976,-79.53797797557627,Entire home/apt,135,31,0,,,1,283,0,
867255553991731789,Home in Toronto · 1 bedroom · 3 beds · 1 bath,509555545,Chris,,Waterfront Communities-The Island,43.6425099852687,-79.3797488515914,Entire home/apt,190,28,1,2023-05-19,0.13,1,221,1,STR-2205-GMLKVG
867286401674219119,Home in Toronto · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,480226291,Nguyen Linh Trang,,Princess-Rosethorn,43.658666444503226,-79.54252094885811,Private room,56,3,14,2024-01-02,2.82,6,115,14,STR-2203-GWWXVH
867327760336126238,Rental unit in Toronto · ★4.85 · Studio · 1 bed · 1 bath,1706259,Tracy,,Wychwood,43.678076244917115,-79.4296422607654,Entire home/apt,151,28,27,2023-11-27,3.32,1,364,27,STR-2302-FXXRVR
867364219670650763,Home in Toronto · 3 bedrooms · 1 bath,48508503,Jiamin,,Danforth East York,43.68983,-79.32287,Entire home/apt,164,28,2,2023-09-17,0.26,5,168,2,
867368806765560657,Home in Toronto · 1 bedroom · 2 beds · 1.5 baths,505212400,Kamrun,,Eglinton East,43.73738729482035,-79.26054599865,Entire home/apt,64,28,0,,,1,312,0,
867373299809815126,Home in Toronto · 1 bedroom · 1 bath,48508503,Jiamin,,Danforth East York,43.69022,-79.32153,Entire home/apt,50,28,2,2023-09-15,0.27,5,168,2,
867380998032818475,Condo in Toronto · ★4.52 · 2 bedrooms · 3 beds · 2 baths,507534467,Seth,,Waterfront Communities-The Island,43.64258217029163,-79.38153118623208,Entire home/apt,150,28,25,2023-12-24,3.25,1,57,25,STR-2109-HLPPHK
867408536131961125,Rental unit in Toronto · 1 bedroom · 1 bed · 1 shared bath,502011973,Lina,,Black Creek,43.77021691084949,-79.5209977987733,Private room,65,28,0,,,4,281,0,
867425997020683515,Home in Toronto · 3 bedrooms · 4 beds · 1 bath,377962,Coreen,,Wychwood,43.679899368676395,-79.43407198332875,Entire home/apt,170,30,1,2023-07-01,0.16,6,155,1,
867429021250534823,Condo in Toronto · ★4.70 · 2 bedrooms · 2 beds · 1 bath,139008841,Mohammadreza,,Waterfront Communities-The Island,43.6418943513961,-79.3814704587341,Entire home/apt,207,2,20,2024-01-05,6.25,2,168,20,STR-2307-GRFBHT
867440149350670213,Rental unit in Toronto · 2 bedrooms · 3 beds · 1 bath,436256662,Ai Hua,,Kensington-Chinatown,43.64974605767073,-79.39677115864116,Entire home/apt,306,28,0,,,4,89,0,STR-2112-GVFDVH
867456729668911921,Rental unit in Toronto · ★4.50 · 1 bedroom · 1 bed · 1 bath,509615665,Kusam,,Waterfront Communities-The Island,43.64224550005534,-79.39411515547646,Entire home/apt,350,2,10,2023-10-02,1.33,1,89,10,STR-2304-GPKVHT
867477962578016729,Rental unit in Toronto · 2 bedrooms · 2 beds · 1 bath,304189956,Jovan,,Etobicoke West Mall,43.65198,-79.56964,Entire home/apt,195,29,1,2023-06-19,0.15,1,357,1,
867536234356347743,Condo in Toronto · ★4.54 · Studio · 2 beds · 1 bath,507605134,Latoya,,Niagara,43.637324425876635,-79.40542032824496,Entire home/apt,67,1,26,2023-12-30,3.35,1,143,26,STR-2202-HCGKVJ
867548534779471073,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,117303877,Ron,,Annex,43.6698194,-79.4035016,Entire home/apt,,28,2,2023-08-27,0.33,1,0,2,
867567876558923697,Home in Toronto · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,34237282,Peter,,Little Portugal,43.64699924669653,-79.43201696745524,Private room,69,1,69,2024-01-06,7.72,2,97,69,STR-2204-GRBVHG
867582246941155558,Condo in Toronto · ★4.97 · 1 bedroom · 1 bed · 1 bath,507944832,Amarjeet Kaur,,Waterfront Communities-The Island,43.64287071393175,-79.38174765153593,Entire home/apt,34,1,29,2023-12-18,3.30,1,274,29,STR-2112-GFYDVF
867720530072533043,Rental unit in Toronto · ★4.89 · 1 bedroom · 1 bed · 1 bath,509668279,Eridson,,Bay Street Corridor,43.65651110889267,-79.38453935869576,Entire home/apt,126,28,37,2023-11-18,4.24,1,0,37,STR-2303-HWXVHY
867993136070337298,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,140639037,Rency,,Briar Hill-Belgravia,43.70159954528038,-79.44225263560783,Entire home/apt,110,28,0,,,3,180,0,
868007842174372491,Rental unit in Toronto · ★4.67 · Studio · 2 beds · 1 bath,509724194,Nikita,,Bay Street Corridor,43.65363,-79.37997,Entire home/apt,160,3,17,2023-11-07,2.06,1,0,17,STR-2304-FGCPHP
868012874821455970,Condo in Toronto · 1 bedroom · 1 bed · 1 bath,509716348,Hatem,,Mount Pleasant East,43.7090705,-79.3884807,Entire home/apt,100,28,1,2023-08-27,0.22,1,156,1,Exempt
868016157858228901,Guest suite in Toronto · ★4.78 · 2 bedrooms · 2 beds · 1 bath,509726566,Victoria,,High Park-Swansea,43.64541,-79.45355,Entire home/apt,285,2,23,2023-12-28,3.05,1,361,23,STR-2304-FDWPHP
868044242602327102,Home in Toronto · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,37094478,Aymen,,Trinity-Bellwoods,43.6507,-79.41146,Private room,74,1,15,2023-12-22,1.79,4,57,15,STR-2211-HZPBHZ
868088091528761111,Home in Toronto · ★4.58 · 1 bedroom · 1 bed · 1 shared bath,435638223,Mehdi,,Willowdale East,43.7835106,-79.39725659999999,Private room,59,28,12,2023-10-05,1.38,4,363,12,STR-2112-HHVRVJ
868126372367701281,Condo in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 private bath,509759007,Paresh,,Niagara,43.63613,-79.40576,Private room,59,28,23,2023-12-02,3.65,1,84,23,STR-2304-GHWPHS
868138687306999929,Rental unit in Toronto · ★4.83 · 2 bedrooms · 2 beds · 2 baths,490359697,Azadeh,,Willowdale West,43.77569949149038,-79.41485524145864,Entire home/apt,125,28,24,2023-11-01,2.78,1,81,24,STR-2212-HQPBHX
868192889831546783,Condo in Toronto · ★4.72 · 2 bedrooms · 3 beds · 2 baths,509777750,Soman,,Waterfront Communities-The Island,43.64069,-79.39822,Entire home/apt,177,1,18,2023-12-18,2.16,3,163,18,STR-2207-HQDDVK
868198020447061674,Rental unit in Toronto · 2 bedrooms · 3 beds · 2 baths,436256662,Ai Hua,,Kensington-Chinatown,43.65107005277485,-79.39862294890385,Entire home/apt,327,28,0,,,4,89,0,STR-2112-GVFDVH
868290243161633042,Home in Toronto · 3 bedrooms · 3 beds · 1.5 baths,509797860,Baljinder,,West Humber-Clairville,43.72868889999999,-79.62209299999999,Entire home/apt,220,28,0,,,2,180,0,STR-2304-GDXVHS
868330770736805917,Home in Toronto · ★5.0 · 4 bedrooms · 4 beds · 1.5 baths,480226291,Nguyen Linh Trang,,Princess-Rosethorn,43.66033870021144,-79.5400286309031,Entire home/apt,320,2,12,2023-11-28,1.73,6,113,12,STR-2203-GWWXVH
868348654405157582,Rental unit in Toronto · 3 bedrooms · 3 beds · 3 baths,105605194,Zoey And Gene,,Bedford Park-Nortown,43.719560099163644,-79.42854549598843,Entire home/apt,170,31,0,,,49,333,0,
